"species","genetic_diversity","sd","seq_count","variation"
"Acanthopagrus pacificus",0.0235375802231868,0.0126340413293629,9,0.536760415028438
"Acanthopagrus schlegelii",0.00232083633665628,0.00232092782828263,31,1.00003942183467
"Acanthopagrus vagus",0.0380340107156147,0.0383477599372341,4,1.00824917529643
"Acanthostracion polygonius",0.000833333333333333,0.000912870929175277,4,1.09544511501033
"Acanthostracion quadricornis",0.0103854693975136,0.00844728083558186,29,0.813374967683619
"Acanthurus achilles",0.00221961081388325,0.00157397875086223,7,0.709123753145049
"Acanthurus albimento",0.0028518521938701,0.00235708168061608,5,0.826509061613538
"Acanthurus auranticavus",0.00264283982996658,0.00186540568799378,4,0.705833803033522
"Acanthurus bahianus",0.00759335278225973,0.00490466283120251,27,0.645915311963541
"Acanthurus bariene",0.000458414870244458,0.000745714047570008,7,1.62672307548039
"Acanthurus blochii",0.0280619871102266,0.0335551516618179,16,1.19575108954381
"Acanthurus chirurgus",0.00361342030827822,0.00226686590027335,24,0.627346310939814
"Acanthurus coeruleus",0.00473998108803934,0.00270034086995869,28,0.569694439661925
"Acanthurus dussumieri",0.0218692953570951,0.0290607260776891,9,1.32883687394441
"Acanthurus gahhm",0.00250167430838185,0.00146527155789272,5,0.585716355235904
"Acanthurus guttatus",0.00159270588643738,0.00122311152796208,8,0.767945631630694
"Acanthurus japonicus",0.00465553985960713,0.00277841201181806,9,0.596796954940585
"Acanthurus leucocheilus",0.0061625277259707,0.00484991078655108,6,0.78700023792382
"Acanthurus leucopareius",0.00799709196655761,0.00420623188478162,8,0.525970177956102
"Acanthurus leucosternon",0.00802426705235677,0.00689677267082325,16,0.859489424494868
"Acanthurus lineatus",0.00774286705076138,0.0180994737366171,40,2.33756741759338
"Acanthurus mata",0.0141786385967049,0.0151120803105782,33,1.06583436819457
"Acanthurus nigricans",0.00500517061652141,0.0038146087540373,33,0.762133610679679
"Acanthurus nigricauda",0.00420521870678503,0.00285652823769489,29,0.679281729886235
"Acanthurus nigrofuscus",0.00570793355431394,0.00251262452518903,86,0.440198629027494
"Acanthurus nigroris",0.00229007633587786,0.000836217645046055,5,0.365148371670111
"Acanthurus olivaceus",0.00307898041042433,0.00263004601899907,19,0.854193813671135
"Acanthurus pyroferus",0.00764704280280157,0.0112207394829288,17,1.46733054492881
"Acanthurus reversus",0.00374372005206484,0.00174734876070806,17,0.466741299137556
"Acanthurus sohal",0.0262881705311374,0.0355550196859963,18,1.35251023436122
"Acanthurus tennentii",0.00274506038527995,0.00135390219573907,10,0.493213993761014
"Acanthurus thompsoni",0.00927113538766137,0.00524193145915692,12,0.565403398825695
"Acanthurus tractus",0.014260027784405,0.00496400971045554,10,0.348106594566685
"Acanthurus triostegus",0.00730273862435381,0.00530931236308479,81,0.727030315090127
"Acanthurus xanthopterus",0.00585594223274723,0.0113385178316625,30,1.9362414076177
"Acentrogobius caninus",0.0216958754584817,0.012978080728869,20,0.598181933414234
"Acentrogobius dayi",0.00390243902439024,0.00083967118616963,5,0.215165741455968
"Acentrogobius viridipunctatus",0.0347463027177618,0.026122110580667,4,0.751795400876243
"Achirus lineatus",0.0144303605231673,0.0105003583832663,24,0.727657383639753
"Acipenser gueldenstaedtii",0.0086622208377453,0.0141911839218089,32,1.63828470638515
"Acipenser medirostris",0.00100801843233705,0.000873239599077359,4,0.866293284987646
"Acipenser nudiventris",0.0112052633749363,0.019902338878168,14,1.77615984669179
"Acipenser oxyrinchus",0.000521002243812577,0.000726010665829832,8,1.39348855873834
"Acipenser sinensis",0.00859805043379462,0.0161503911298483,13,1.87837827356411
"Acipenser stellatus",0.00391344070695434,0.00322633848791616,24,0.824425034007243
"Acipenser transmontanus",0.00214819405483308,0.00187033058194145,8,0.870652526820619
"Acreichthys tomentosus",0.00109470255637314,0.000948055560389197,4,0.86603941396666
"Acropora digitifera",0.00464746435948125,0.00331927398545556,6,0.714211821481522
"Acropora divaricata",0.0132582275064364,0.0113378625636705,7,0.855156736310817
"Acropora hyacinthus",0.00985061354355037,0.00825259523911085,9,0.837774743941121
"Acropora loripes",0.0020229553008418,0.00108333555046841,5,0.535521249539033
"Acropora nana",0.00155990153002054,0.00143589447660994,5,0.92050328112123
"Acropora robusta",0.0398212217648147,0.038712658650853,5,0.972161499199876
"Acropora tenuis",0.00497231871471993,0.00463034717892759,6,0.931224936410456
"Acropora valida",0.00585879627385887,0.00469064350861713,7,0.80061556834569
"Actinopyga echinites",0.00432597968573854,0.00255089320508687,6,0.589668327268481
"Actinopyga lecanora",0.0338195149724046,0.0371571070229527,8,1.09868834763809
"Actinopyga spinea",0.00720720720720721,0.00452115707332781,5,0.627310543924234
"Actinopyga varians",0.00311401156207164,0.00186895578840825,4,0.600176252128269
"Aculeola nigra",0.00689850805703672,0.00305369197133018,29,0.442659767312341
"Acyrtops beryllinus",0.00516894035800827,0.00260307568756179,11,0.503599482150888
"Acyrtus artius",0.0187937924360423,0.0255307675220057,15,1.35846810104401
"Acyrtus lanthanum",0.00455683623498357,0.00329441196229683,11,0.722960359427687
"Acyrtus rubiginosus",0.0313251671182327,0.0245972757691488,11,0.785224087594157
"Adelieledone polymorpha",0.0123347417200491,0.0099058644255686,12,0.80308648939665
"Aeoliscus punctulatus",0.00185569401479972,0.00132334081349883,8,0.713124471461772
"Aeoliscus strigatus",0.00772494120081846,0.00480140520776564,9,0.621545858142834
"Aesopia cornuta",0.0077239297093048,0.00525509809200434,8,0.680365861651184
"Aethaloperca rogaa",0.00647451007449399,0.0133360725417956,13,2.059780954598
"Aetobatus flagellum",0.00892173755022097,0.0220508786783971,10,2.47159015318164
"Aetobatus narinari",0.019762060929324,0.0116159631743819,30,0.587791081908136
"Aetobatus ocellatus",0.0080666334906795,0.00557278247651675,21,0.690843644124374
"Aetomylaeus bovinus",0.0018691858415162,0.00127721450052395,7,0.683299901034952
"Aetomylaeus maculatus",0.00542637810360335,0.00315312855971159,6,0.581074245013958
"Aetomylaeus nichofii",0.0222230610849246,0.0221290195474397,9,0.995768290555225
"Aetomylaeus vespertilio",0.00639498710865325,0.00329548205336968,5,0.515322704702636
"Agonus cataphractus",0.00165653830209986,0.00144749438397175,8,0.873806770502606
"Agrostichthys parkeri",0.00209911039558925,0.00162715393934993,4,0.775163584901956
"Ahlia egmontis",0.00672397132519832,0.00377398500561373,7,0.561273215349772
"Ahliesaurus berryi",0.00456460529273682,0.00144640405251334,8,0.316873849928461
"Aidablennius sphynx",0.0117277568922306,0.00771067860402676,5,0.657472581916747
"Albula esuncula",0.0403885480572597,0.0376022407999779,4,0.931012443098186
"Albula glossodonta",0.00576021687522389,0.00479347492613928,6,0.832169175219287
"Albula vulpes",0.0147744267306201,0.0250734890973422,74,1.69708710561184
"Aldrichetta forsteri",0.00597899324400833,0.00568352187638942,10,0.95058175255257
"Aldrovandia affinis",0.00710056656857511,0.00542700646100965,27,0.764306116786214
"Aldrovandia oleosa",0.00426568681464051,0.00164012713666294,16,0.38449309757898
"Aldrovandia phalacra",0.0394673977973184,0.036500922895374,15,0.924837332393219
"Alectis alexandrina",0.00220704883044155,0.00158638845563671,4,0.718782672026031
"Alectis ciliaris",0.00358670205054496,0.00452811337674377,34,1.26247268742487
"Alectis indica",0.00392247235564495,0.00312955497662435,22,0.797852653345157
"Alepes apercna",0.00482773754663156,0.00239383632096461,7,0.49585055066526
"Alepes djedaba",0.0303485789067872,0.0326965848363156,56,1.07736790367483
"Alepes kleinii",0.0143888945682932,0.0247613302209431,56,1.7208639693216
"Alepes melanoptera",0.0122119608972118,0.0118956666821893,20,0.9740996374223
"Alepes vari",0.00608134623854114,0.0106241058492521,15,1.74699900852886
"Alepisaurus brevirostris",0.00828389356097313,0.00620268249388119,5,0.748764146741709
"Alepisaurus ferox",0.0197069811523387,0.0247232627228995,24,1.25454337890639
"Alepocephalus agassizii",0.00284239743861087,0.00164800131478855,8,0.579792710337495
"Alepocephalus australis",0.015441034937559,0.0134001834037544,8,0.867829355865232
"Alepocephalus owstoni",0.0309773619823441,0.00603198303343386,4,0.194722295490231
"Alionematichthys piger",0.00250513452342156,0.00166894884122194,5,0.666211265550106
"Alloblennius pictus",0.00305343511450382,0.00136553769618308,4,0.447213595499958
"Allocyttus verrucosus",0.0145835345567758,0.0204785118509419,13,1.4042214369374
"Alloteuthis africana",0.000689404795592499,0.000890729190450142,5,1.29202639167112
"Alloteuthis media",0.00482806453151353,0.00208780206690272,45,0.432430439418386
"Alloteuthis subulata",0.00237623762376238,0.00250477438429179,6,1.05409255338946
"Allothunnus fallai",0.00219907375608666,0.000910650879470561,7,0.414106565070878
"Alopias pelagicus",0.00603327853881911,0.00549733506428366,108,0.911168783094116
"Alopias superciliosus",0.00329328312245665,0.00893567672465052,61,2.71330353097151
"Alopias vulpinus",0.0316754184237481,0.0360689816490488,12,1.1387057675616
"Alosa aestivalis",0.00510989145946309,0.00469053849372913,16,0.91793309719772
"Alosa sapidissima",0.00307041521485971,0.00204091144470193,25,0.664702101144058
"Alphestes immaculatus",0.00272665851044247,0.00196631767300014,6,0.721145558004276
"Alphestes multiguttatus",0.0055144476186016,0.00194008438511268,5,0.351818444800943
"Alticus kirkii",0.0022135470028057,0.00140349951388372,6,0.634050016604465
"Alticus monochrus",0.0144398782391618,0.0201484507923754,6,1.3953338427558
"Alticus saliens",0.0251561480816191,0.0188899960474558,5,0.750909717424432
"Alticus simplicirrus",0.00203562340966921,0.000881450792655917,4,0.433012701892219
"Altrichthys curatus",0.00327600547342438,0.00146507762615169,4,0.44721464540786
"Aluterus monoceros",0.00250645892909562,0.00248010582646439,21,0.989485922819118
"Aluterus schoepfii",0.000774499961698336,0.000848539905219381,4,1.0955970912622
"Aluterus scriptus",0.00428589558059683,0.00397940718004287,11,0.928489064936275
"Alveopora japonica",0.000799154850012331,0.000875438261933728,5,1.09545510725515
"Alveopora spongiosa",0.0280612244897959,0.0307395312885552,4,1.09544511501033
"Alviniconcha adamantis",0.00328045910307251,0.00167522870998558,8,0.510668981794819
"Alviniconcha boucheti",0.0058319857262213,0.00323336989777603,163,0.554420063690899
"Alviniconcha hessleri",0.00695978170522858,0.00520141827432674,82,0.747353651971461
"Alviniconcha kojimai",0.00777190058613502,0.012044051620383,155,1.54969193016563
"Alviniconcha marisindica",0.00419601381956168,0.00242233296452227,15,0.577293848087304
"Alviniconcha strummeri",0.0131262950165402,0.0130933569556988,73,0.997490681048999
"Amanses scopas",0.0119646659953684,0.0184539937981803,11,1.5423743383496
"Ambassis miops",0.0044294463192101,0.00199829209267362,6,0.451138121712237
"Ambassis urotaenia",0.00724729003535306,0.00877420715448865,8,1.21068801050974
"Amblycirrhitus bimacula",0.027168850783391,0.0337881978397682,11,1.24363735916367
"Amblycirrhitus pinos",0.00327012851858609,0.00218683795884463,10,0.668731502879941
"Amblyeleotris steinitzi",0.0169394005581589,0.0166327070491069,8,0.981894665752839
"Amblyeleotris sungami",0.00256252707865611,0.00125537889434883,4,0.489898781872462
"Amblyeleotris wheeleri",0.0326998451343756,0.0311201963813012,13,0.951692469900604
"Amblygaster sirm",0.0395531717518066,0.0279022633091868,16,0.705436810081163
"Amblyglyphidodon curacao",0.0231287223991383,0.0179840523554048,12,0.777563587173096
"Amblyglyphidodon flavilatus",0.0031787303630215,0.00248275449702315,9,0.781052248377305
"Amblyglyphidodon indicus",0.00896981294707587,0.00661233612390044,10,0.737176590294008
"Amblyglyphidodon leucogaster",0.0417353415552481,0.0347225248460454,6,0.831969346652661
"Amblygobius albimaculatus",0.00197291118604305,0.00112374782897927,8,0.569588655043873
"Amblygobius nocturnus",0.00187255411150836,0.000991041786719414,6,0.529246007166715
"Amblygobius sphynx",0.010489295650586,0.00737265442198595,7,0.702874117345914
"Amblyotrypauchen arctocephalus",0.0160474552438966,0.00918649113404689,6,0.572457813056736
"Amblyraja badia",0.000695561767761013,0.000910390379762005,5,1.30885626835488
"Amblyraja doellojuradoi",0.00461320027375582,0.00193398965865724,6,0.419229503141144
"Amblyraja hyperborea",0.00542858384846002,0.00773924826999372,47,1.42564773540141
"Amblyraja jenseni",0.0018011955645896,0.00130332238894086,19,0.723587385269748
"Amblyraja radiata",0.00857612787558899,0.00590516219515414,101,0.688558085982199
"Amblyrhynchotes honckenii",0.00778821704126679,0.00550632330036511,6,0.707006914572257
"Amblyrhynchus cristatus",0.00695364238410596,0.00355949569461305,6,0.511889380844352
"Ammodytes tobianus",0.00197782861448995,0.0014740072237214,9,0.74526539505119
"Amphioctopus aegina",0.0152625879028621,0.0265752726844629,16,1.74120357920948
"Amphioctopus fangsiao",0.0279786926334047,0.0223020809361755,11,0.79710947285465
"Amphioctopus kagoshimensis",0.0030308360438144,0.0021895409939068,9,0.722421458057888
"Amphioctopus marginatus",0.02607687765802,0.0369160051510966,24,1.4156604803391
"Amphioctopus membranaceus",0.0135246603181952,0.00790181993213423,4,0.584252746185695
"Amphioctopus neglectus",0.00735654380181136,0.0123664748386276,14,1.68101695195271
"Amphioctopus ovulum",0.00721763021146498,0.0059723839748262,14,0.827471593839658
"Amphiprion akallopisos",0.0182321766315671,0.0142244896880004,13,0.780186040067879
"Amphiprion akindynos",0.00153641389065889,0.00100561313651366,7,0.65451968550115
"Amphiprion bicinctus",0.00375002435984644,0.00167079653605722,13,0.445542848720493
"Amphiprion ephippium",0.00593498297227651,0.00379287227283335,5,0.639070455728452
"Amphiprion frenatus",0.0283397342794995,0.0210381761573847,7,0.742356154433086
"Amphiprion melanopus",0.00317567918614598,0.00158709994407026,17,0.49976708950767
"Amphiprion percula",0.0134018258858813,0.0119755887777532,13,0.8935788958704
"Amphiprion perideraion",0.00829740979308481,0.0123240703808513,9,1.48529127621518
"Amphiprion polymnus",0.0136852105982019,0.0114083298597557,13,0.833624720488747
"Amphiprion sandaracinos",0.0167138272515441,0.00720207129008439,6,0.430904973570254
"Anampses caeruleopunctatus",0.00233384456069706,0.00231121423860845,28,0.990303415030414
"Anampses geographicus",0.00154466412539433,0.0015873082352556,7,1.02760736729765
"Anampses lineatus",0.0164920407308693,0.0150603175721988,11,0.913187022635064
"Anampses melanurus",0.011895892428882,0.0074398381721671,4,0.625412361169635
"Anampses meleagrides",0.0198923075528223,0.0328743921555062,19,1.65261833340406
"Anampses neoguinaicus",0.00639860912193697,0.00463415909011641,6,0.72424475410268
"Anampses twistii",0.00902553988987109,0.0105251791551583,14,1.16615507588307
"Anarchias seychellensis",0.00688073394495413,0.00345308556288569,5,0.501848435139387
"Anarchopterus criniger",0.00967022527092089,0.00732380294391502,4,0.757355980727591
"Anchichoerops natalensis",0.00144261135083316,0.00143033230918436,6,0.991488323142813
"Anchoa choerostoma",0.00687267598410053,0.00391525891357033,11,0.569684781099534
"Anchoa hepsetus",0.0240000378095227,0.0255941226959894,13,1.06642009896477
"Anchoa ischana",0.00459770114942529,0.00178068199825628,4,0.387298334620742
"Anchoa lamprotaenia",0.00457956888232662,0.00218689683730476,9,0.477533342875218
"Anchoa mitchilli",0.00450193822468148,0.00221199126907417,27,0.491341986202105
"Anchoviella lepidentostole",0.0054822485454566,0.00257605336924086,8,0.469889927076684
"Ancistrocheirus lesueuri",0.00778884442756861,0.0100925756853646,4,1.29577317652435
"Andamia reyi",0.0583108383919519,0.052444188980059,4,0.899390069261934
"Anguilla anguilla",0.0105080192601046,0.0147801655510105,166,1.40656056913845
"Anguilla australis",0.00459351999570708,0.0038039187091081,7,0.828105399054123
"Anguilla bengalensis",0.0176745010641624,0.0204889001803466,32,1.15923499656185
"Anguilla bicolor",0.0104161800351649,0.00747014963135663,75,0.717167868272007
"Anguilla celebesensis",0.00512506735217533,0.00345455978835067,5,0.674051588197058
"Anguilla interioris",0.00556043663866822,0.003035998665394,11,0.546000046881417
"Anguilla japonica",0.0328118942114714,0.0428065004423061,15,1.30460314684729
"Anguilla luzonensis",0.00551281117593806,0.0028591479982306,5,0.518637026914692
"Anguilla marmorata",0.00418978694334838,0.00336121233388894,65,0.802239440653453
"Anguilla reinhardtii",0.000523651871399029,0.00076714814198623,7,1.46499646785689
"Anguilla rostrata",0.00563612230923632,0.00669320815520349,53,1.1875555191971
"Anisotremus davidsonii",0.000967117988394584,0.00105942467602547,5,1.09544511501033
"Anisotremus interruptus",0.00638354819203821,0.0057828985857153,37,0.905906623048281
"Anisotremus scapularis",0.0011186207933265,0.00143550717411286,15,1.28328311316655
"Anisotremus surinamensis",0.0116646993378088,0.0278459093501857,20,2.38719477834536
"Anisotremus virginicus",0.00203179789227634,0.00207743271973966,15,1.02246031834013
"Anodontostoma chacunda",0.0235564024375688,0.0221642540205736,22,0.940901484397511
"Anomalops katoptron",0.00499886446303129,0.00177189758429533,4,0.354460017349791
"Anoplocapros amygdaloides",0.0010265041961026,0.000889074325983035,4,0.866118550083519
"Anoplocapros inermis",0.00429447852760736,0.00268587434285556,5,0.625425025550652
"Anoplocapros lenticularis",0.0179641870329362,0.00992417186438512,9,0.552442025135332
"Anoplogaster cornuta",0.00534583193031464,0.00389622700338247,28,0.72883454889184
"Anotopterus pharao",0.0147179312667503,0.0057309178249141,8,0.389383380112732
"Anoxypristis cuspidata",0.000204508530248068,0.000595120328141,14,2.91000246991712
"Antennablennius bifilum",0.0589859678267585,0.046448497745448,9,0.787449955587182
"Antennarius pauciradiatus",0.00400213550917441,0.00183029953122041,6,0.457330724315724
"Antennarius striatus",0.0475363108237617,0.0327217659394106,27,0.688353079411754
"Anthias anthias",0.00377829627878928,0.00245159060372228,9,0.648861397525942
"Anthias asperilinguis",0.00394048114020103,0.00240259887818445,11,0.609722212263113
"Anthias nicholsi",0.00347217814113913,0.00222379574846869,13,0.640461306440666
"Anthias regalis",0.000784460273846285,0.000859716859440642,4,1.0959342214047
"Antigonia capros",0.0131282117152836,0.00869023067300116,22,0.661950832411102
"Antilligobius nikkiae",0.00382262996941896,0.0016036832540828,4,0.419523539268061
"Antimora microlepis",0.00175374727521967,0.00147830283384759,7,0.842939490048486
"Antimora rostrata",0.00470132773523516,0.00255301056867081,41,0.543040330827543
"Anyperodon leucogrammicus",0.0249245856132802,0.021034168260457,19,0.843912456030953
"Aphanopus carbo",0.00251649000921648,0.00161065684802174,17,0.640041026240046
"Aphanopus intermedius",0.00403767399469247,0.00159218636212221,15,0.394332569745636
"Aphareus furca",0.016130751894663,0.0342235169934132,10,2.12163185057333
"Aphareus rutilans",0.00389946723079128,0.00279783247906267,8,0.717490957987851
"Aphyosemion australe",0.0197337137422729,0.00862630220019673,5,0.437135265711174
"Apistus carinatus",0.0204093956763344,0.0160281160812243,20,0.785330263345798
"Apogon aurolineatus",0.0171318393596266,0.0191356966087611,14,1.11696684792976
"Apogon binotatus",0.0116786091773255,0.0226663652926093,20,1.94084457733349
"Apogon dovii",0.00146386432633507,0.000733224561953247,4,0.500882867874065
"Apogon imberbis",0.0064978412077287,0.00585360519820351,5,0.900853839155238
"Apogon lachneri",0.00275789118759414,0.00159409097912042,14,0.578010831714875
"Apogon maculatus",0.00759179436337961,0.0122106185157891,53,1.60839689951156
"Apogon mosavi",0.00402463476468808,0.00212399417663222,28,0.527748305328977
"Apogon phenax",0.00437315121895865,0.00240015237415612,32,0.548838184179611
"Apogon pillionatus",0.0187795349506749,0.00886833748788277,20,0.472234137382836
"Apogon planifrons",0.00353309037514478,0.00188414962716025,6,0.533286564197511
"Apogon pseudomaculatus",0.0167617473197644,0.0141343347363772,6,0.843249481497126
"Apogon quadrisquamatus",0.00317156717542685,0.00131255856193969,7,0.413851729866964
"Apogon robbyi",0.00230729843633069,0.000843081994550152,4,0.36539789620406
"Apogon semilineatus",0.005626701733081,0.00870308108784424,41,1.54674647790131
"Apogon townsendi",0.0046430320462975,0.00297630022806216,32,0.641025131505512
"Apogonichthys ocellatus",0.0395844050411464,0.028896236227254,4,0.729990414083968
"Apolemichthys trimaculatus",0.00577982484137027,0.00326414680087968,17,0.564748394711876
"Apolemichthys xanthurus",0.00130506754952742,0.00168484624437707,6,1.29100309404458
"Aporops bilinearis",0.0223462518213879,0.0147063304844874,13,0.658111731758601
"Apostichopus japonicus",0.010356227501764,0.0043104414338432,109,0.41621733716346
"Aprion virescens",0.00548341588605565,0.00309997702684534,19,0.565336843176276
"Apristurus ampliceps",0.0116385147815313,0.00735712694550418,8,0.63213623762191
"Apristurus aphyodes",0.0119139682377456,0.0137827205794987,6,1.15685389657431
"Apristurus australis",0.00368579660384469,0.00172023451312045,7,0.466719870360197
"Apristurus brunneus",0.0025966132164086,0.00158615718316086,9,0.610856161840955
"Apristurus exsanguis",0.0033408874686693,0.00181229560662516,4,0.542459338610112
"Apristurus manis",0.0126647543506024,0.0149600467903846,7,1.18123465929468
"Apristurus melanoasper",0.00538947655305159,0.00695778740056354,5,1.29099502188648
"Apristurus platyrhynchus",0.0127611864233673,0.0141964707271622,5,1.11247263821542
"Apristurus sinensis",0.0271833015011546,0.0258714353905483,10,0.95174000072984
"Apsilus dentatus",0.00276191418582078,0.00174124720081314,5,0.630449421546991
"Aptychotrema rostrata",0.00363878444113164,0.00127374452303915,4,0.350046710280817
"Aptychotrema vincentiana",0.0045994903606494,0.00192901057409422,5,0.419396590239156
"Architeuthis dux",0.00181273771589221,0.00110108823607458,35,0.607417292872202
"Archosargus probatocephalus",0.00346603590273297,0.00257592242674477,27,0.743189770398413
"Archosargus rhomboidalis",0.00178047066887452,0.00169554350307044,14,0.952300721776133
"Arctides regalis",0.0300192485699126,0.0284490811385746,4,0.947694645731016
"Arctocephalus forsteri",0.0123167713687417,0.00947628263572721,17,0.769380412449382
"Arctozenus risso",0.0101968060960806,0.0125823284098747,37,1.23394799227486
"Arcygobius baliurus",0.0309285985265248,0.0195255522049215,10,0.631310603620662
"Argentina striata",0.00155926354023624,0.000970829239655003,4,0.622620368272006
"Argyropelecus aculeatus",0.011996133218651,0.0167627158717619,35,1.39734325771741
"Argyropelecus affinis",0.0391555299823513,0.0322576913410713,7,0.823834879916346
"Argyropelecus gigas",0.00713813550338641,0.00521775832449224,28,0.730969357756921
"Argyropelecus hemigymnus",0.0295141872353645,0.0279482921979475,24,0.946944327996243
"Argyropelecus sladeni",0.0124404220824175,0.0136305987856786,6,1.09567012239426
"Argyrops bleekeri",0.00487132294272993,0.00351445267601768,12,0.721457541890694
"Argyrops filamentosus",0.00159167132884652,0.00129071923771006,5,0.810920706001182
"Argyrops spinifer",0.0236544089043388,0.0310958260776527,37,1.31458901397231
"Argyrosomus hololepidotus",0.00276267315499355,0.00202087560525192,5,0.731492830268097
"Argyrosomus inodorus",0.00153815325127375,0.00116802589089541,7,0.759368996508089
"Argyrosomus japonicus",0.0034755237612791,0.00245610294155917,18,0.706685699842618
"Argyrosomus regius",0.00340259856317016,0.00234833064024876,7,0.690158006197724
"Argyrozona argyrozona",0.00177195764495305,0.00129589279951512,11,0.731333958916077
"Ariomma bondi",0.0207653465106605,0.0262619441933119,8,1.26470050378546
"Ariopsis felis",0.000684023868533311,0.00112649859244854,15,1.64687029834791
"Ariosoma anale",0.00188108854055314,0.00160537821804107,5,0.853430438510351
"Ariosoma balearicum",0.00424027377283722,0.00590650222908488,14,1.39295303688204
"Ariosoma meeki",0.0274696209879921,0.0278099852730858,8,1.0123905708507
"Ariosoma prorigerum",0.004674262342974,0.00229939591891819,7,0.49192701440356
"Ariosoma scheelei",0.00184002680438759,0.00158516439731028,5,0.861489840001466
"Aristostomias scintillans",0.0060883133461526,0.00316433677017397,11,0.51973947303051
"Aristostomias tittmanni",0.00323082015987636,0.00225085398536395,5,0.696681917897308
"Arius arius",0.0290482760890817,0.0316996824511235,34,1.09127585932848
"Arnoglossus fisoni",0.00220753871393794,0.00178320180177193,7,0.807778269306518
"Arnoglossus imperialis",0.0162181709410907,0.00773253572602213,4,0.476782231122672
"Arnoglossus laterna",0.00886206288894509,0.00937932229619161,42,1.05836783305744
"Arnoglossus polyspilus",0.00405546142378491,0.00268385546443521,7,0.661787940749391
"Arnoglossus rueppelii",0.0056634415022653,0.00453502956714087,11,0.80075508245771
"Arnoglossus scapha",0.00512821241088054,0.000888253257620614,4,0.173209139257962
"Arnoglossus thori",0.00840343170183226,0.00791511639001154,9,0.941890964412282
